frequency,raw
20.098,71.151
20.394,71.151
20.839,71.115
21.185,71.092
21.570,71.099
21.961,71.099
22.359,71.142
22.765,71.196
23.178,71.196
23.598,71.195
24.026,71.195
24.462,71.194
24.906,71.194
25.357,71.193
25.817,71.193
26.286,71.192
26.803,71.121
27.248,71.085
27.742,71.084
28.245,71.129
28.758,71.022
29.244,71.031
29.846,70.982
30.315,70.969
30.948,70.934
31.424,70.907
32.071,70.858
32.575,70.845
33.228,70.785
33.791,70.776
34.421,70.713
35.098,70.687
35.663,70.653
36.284,70.599
37.012,70.538
37.703,70.488
38.364,70.439
39.036,70.390
39.720,70.341
40.441,70.280
41.150,70.230
41.896,70.169
42.678,70.103
43.482,70.052
44.324,69.997
45.128,69.936
45.919,69.887
46.751,69.825
47.599,69.764
48.463,69.702
49.332,69.628
50.267,69.568
51.117,69.500
52.023,69.417
52.981,69.344
53.957,69.272
54.951,69.199
55.925,69.133
56.916,69.049
57.980,68.966
59.047,68.893
60.069,68.804
61.175,68.732
62.319,68.648
63.442,68.569
64.583,68.476
65.725,68.410
66.929,68.303
68.161,68.231
69.409,68.141
70.646,68.046
71.906,67.982
73.223,67.875
74.591,67.791
75.882,67.702
77.301,67.619
78.716,67.529
80.130,67.435
81.517,67.358
83.041,67.263
84.533,67.186
86.081,67.079
87.628,67.003
89.232,66.896
90.835,66.819
92.498,66.712
94.125,66.623
95.668,66.516
97.315,66.452
98.873,66.333
100.576,66.269
102.186,66.150
103.852,66.079
105.609,65.966
107.387,65.890
109.148,65.783
111.028,65.718
112.814,65.598
114.748,65.535
116.848,65.428
118.948,65.351
120.852,65.232
122.933,65.168
125.183,65.061
127.385,64.972
129.473,64.865
131.703,64.801
134.132,64.682
136.606,64.593
139.061,64.500
141.545,64.388
144.088,64.312
146.746,64.192
149.452,64.104
152.138,64.010
154.856,63.899
157.639,63.822
160.524,63.716
163.347,63.627
166.025,63.520
168.884,63.455
171.976,63.349
175.066,63.272
178.271,63.165
181.475,63.088
184.746,62.993
188.200,62.909
191.587,62.831
194.945,62.752
198.627,62.664
202.285,62.592
205.767,62.532
209.576,62.430
213.435,62.358
217.366,62.286
221.108,62.225
225.200,62.124
229.347,62.052
233.475,61.974
237.613,61.890
242.055,61.807
246.338,61.741
250.956,61.655
255.397,61.573
260.221,61.502
264.782,61.423
269.474,61.339
274.437,61.267
279.491,61.194
284.692,61.135
290.030,61.061
294.937,60.994
300.286,60.932
305.367,60.865
310.906,60.804
316.709,60.737
322.453,60.676
328.526,60.626
334.713,60.559
340.960,60.509
346.937,60.460
353.018,60.411
359.241,60.366
365.721,60.300
372.131,60.251
379.077,60.185
386.479,60.129
393.693,60.079
400.594,60.030
407.412,59.998
414.512,59.944
422.824,59.883
430.846,59.847
437.348,59.827
445.948,59.750
454.718,59.724
461.719,59.697
470.978,59.636
478.477,59.649
487.886,59.565
496.984,59.553
505.745,59.503
515.691,59.477
523.631,59.450
534.408,59.401
542.798,59.388
553.970,59.339
562.668,59.327
574.420,59.291
583.964,59.256
593.666,59.278
606.066,59.215
