frequency,raw
20.10,68.38
20.49,68.38
20.83,68.28
21.16,68.29
21.57,68.38
21.96,68.33
22.36,68.33
22.74,68.35
23.18,68.44
23.60,68.44
24.06,68.41
24.46,68.39
24.87,68.42
25.36,68.44
25.82,68.44
26.33,68.37
26.76,68.33
27.25,68.33
27.70,68.36
28.29,68.31
28.76,68.27
29.24,68.30
29.85,68.23
30.33,68.22
30.95,68.20
31.46,68.15
32.08,68.14
32.61,68.09
33.25,68.08
33.81,68.03
34.47,68.02
35.02,67.97
35.73,67.94
36.28,67.92
37.03,67.87
37.60,67.86
38.34,67.79
39.06,67.77
39.70,67.73
40.49,67.67
41.26,67.64
41.93,67.60
42.66,67.55
43.45,67.49
44.30,67.43
45.13,67.38
45.95,67.32
46.75,67.27
47.60,67.21
48.43,67.16
49.31,67.10
50.21,67.04
51.12,66.98
52.04,66.92
52.99,66.86
53.96,66.78
54.96,66.72
55.95,66.65
56.94,66.58
57.94,66.53
58.99,66.44
60.09,66.37
61.19,66.30
62.32,66.22
63.42,66.16
64.55,66.08
65.71,66.02
66.94,65.95
68.19,65.87
69.42,65.81
70.61,65.74
71.88,65.65
73.23,65.58
74.61,65.51
75.95,65.44
77.26,65.35
78.68,65.27
80.13,65.20
81.61,65.14
83.08,65.05
84.55,64.97
86.10,64.90
87.71,64.84
89.29,64.77
90.86,64.70
92.47,64.62
94.13,64.56
95.90,64.49
97.65,64.41
99.45,64.34
101.26,64.29
102.99,64.22
104.87,64.13
106.80,64.06
108.82,63.99
110.78,63.92
112.68,63.85
114.71,63.77
116.85,63.69
119.00,63.62
121.19,63.55
123.49,63.49
125.58,63.42
127.85,63.36
130.08,63.29
132.38,63.23
134.78,63.17
137.22,63.11
139.82,63.03
142.36,62.97
144.91,62.92
147.54,62.85
150.22,62.79
152.97,62.73
155.62,62.68
158.44,62.62
161.40,62.56
164.55,62.50
167.62,62.45
170.56,62.40
173.55,62.36
176.59,62.31
179.69,62.26
183.29,62.20
186.71,62.15
189.99,62.10
193.22,62.07
196.59,62.02
200.26,61.95
204.27,61.91
207.83,61.87
211.37,61.82
215.19,61.77
219.50,61.72
223.33,61.69
226.92,61.66
231.39,61.58
235.94,61.56
239.57,61.53
244.37,61.47
248.51,61.46
253.15,61.40
258.12,61.37
262.10,61.35
267.49,61.30
271.61,61.29
277.14,61.23
281.55,61.24
287.09,61.15
291.86,61.18
297.60,61.09
302.54,61.12
308.49,61.03
313.62,61.06
320.00,60.98
325.10,60.99
331.89,60.93
337.27,60.92
343.99,60.93
349.86,60.85
355.67,60.87
363.10,60.81
369.24,60.79
375.54,60.82
382.76,60.73
389.44,60.73
397.20,60.74
403.97,60.67
411.02,60.67
418.76,60.71
426.64,60.62
434.08,60.61
441.30,60.63
450.46,60.62
458.14,60.55
466.45,60.55
474.20,60.56
483.52,60.59
492.29,60.49
501.22,60.49
509.70,60.49
519.57,60.53
529.63,60.45
538.59,60.42
548.36,60.42
557.63,60.43
568.43,60.47
579.36,60.44
589.24,60.36
599.92,60.36
610.81,60.36
620.95,60.39
633.16,60.41
645.42,60.32
656.34,60.30
668.25,60.30
680.37,60.30
692.71,60.30
705.27,60.30
717.21,60.31
731.09,60.35
744.35,60.35
757.85,60.35
771.60,60.35
785.59,60.35
799.84,60.35
814.35,60.35
830.12,60.31
844.16,60.30
859.47,60.30
873.75,60.36
890.33,60.37
907.09,60.44
923.42,60.52
939.91,60.62
957.35,60.72
974.72,60.84
992.40,60.96
1010.40,61.08
1028.73,61.22
1047.38,61.35
1066.38,61.51
1085.72,61.67
1105.42,61.85
1125.47,62.03
1145.88,62.22
1166.67,62.42
1187.83,62.63
1209.37,62.82
1231.31,63.03
1253.64,63.22
1276.38,63.40
1299.53,63.59
1323.10,63.77
1347.10,63.94
1371.54,64.10
1396.41,64.26
1421.74,64.40
1447.53,64.55
1473.79,64.67
1500.52,64.79
1526.70,64.91
1555.45,65.02
1583.44,65.14
1611.73,65.24
1641.85,65.33
1671.18,65.44
1702.42,65.54
1732.59,65.63
1764.54,65.74
1796.26,65.82
1829.14,65.93
1861.50,65.99
1894.96,66.09
1929.12,66.16
1965.18,66.25
2001.91,66.34
2037.12,66.43
2073.16,66.51
2110.13,66.60
2149.99,66.67
2188.03,66.75
2227.48,66.83
2269.11,66.92
2310.90,66.99
2351.86,67.07
2391.65,67.14
2436.95,67.20
2479.19,67.26
2524.16,67.32
2571.28,67.37
2622.84,67.43
2668.81,67.48
2714.24,67.53
2764.85,67.54
2818.01,67.64
2866.06,67.60
2913.68,67.66
2974.54,67.67
3024.86,67.66
3083.03,67.76
3135.59,67.72
3187.68,67.76
3254.27,67.79
3307.07,67.80
3374.40,67.87
3430.46,67.85
3487.46,67.88
3561.37,67.93
3620.54,67.91
3683.70,67.92
3753.07,68.01
3821.15,67.97
3890.45,67.97
3961.02,68.01
4030.12,67.91
4106.02,67.86
4180.49,67.75
4251.22,67.63
4312.80,67.42
4381.08,67.30
4403.64,67.00
4473.93,66.87
4492.15,66.56
4557.67,66.32
4617.23,65.96
4687.77,65.64
4763.83,65.44
4829.46,65.34
4917.95,65.45
5003.74,65.57
5088.40,65.68
5192.46,65.73
5280.99,65.63
5373.12,65.51
5461.65,65.31
5550.98,65.18
5579.57,64.90
5668.63,64.80
5697.82,64.52
5786.29,64.44
5838.53,64.23
5944.43,64.27
6043.19,64.33
6152.80,64.42
6264.40,64.44
6378.03,64.44
6489.83,64.47
6612.40,64.55
6731.42,64.71
6848.85,64.97
6956.96,65.36
7040.83,65.37
7067.25,65.76
7136.39,65.82
7155.66,66.24
7222.43,66.67
7287.64,67.05
